Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
6/9/2017,544.05,544.05,531.6,537,536.95,1759615,9448.13
6/8/2017,549.9,553,541.65,548.05,545.9,1500337,8190.61
6/7/2017,560.2,561.5,535.25,549.05,549.4,2580416,14133.97
6/6/2017,556,568,551.55,560,560.55,2071865,11623.7
6/5/2017,551.55,557.9,546.55,554,555.55,1806370,9998.28
6/2/2017,543.05,553.9,540.8,550,551.65,1205264,6599.04
6/1/2017,535.45,545,534.6,541.9,541.15,797029,4317.12
5/31/2017,537.55,540,533,536,535.5,2933063,15703.12
5/30/2017,530,540,529.4,536.45,536.15,1244509,6670.59
5/29/2017,539,539.05,530,537,534.6,593802,3169.94
5/26/2017,534,544.9,531.6,540,539,1456096,7868.44
5/25/2017,525.65,538.7,525.65,535.05,536.45,3768770,20140.42
5/24/2017,527.7,532.2,519.85,525.5,525,1244436,6566.64
5/23/2017,522,529,520.2,525.9,526.4,1637877,8616.49
5/22/2017,521.7,523.35,506.55,521.6,521.2,1074951,5580.61
5/19/2017,527,527.85,518.05,520,519.75,955803,4975.35
5/18/2017,506.95,527.85,505.8,525.1,525.4,3210684,16776.61
5/17/2017,517,517.5,508,510.1,510.55,1380493,7046.75
5/16/2017,505.5,516.2,505.5,515.65,515.35,1340034,6874.66
5/15/2017,510,510,501.65,506.25,506.3,665563,3359.46
5/12/2017,505.65,507.8,504.2,507,507.05,1130832,5726.15
5/11/2017,502.85,505.75,500.4,505.45,504.65,636337,3203.55
5/10/2017,507.4,510.15,498.65,499.8,499.65,836075,4198.79
5/9/2017,504,509.75,500.55,508.55,508.9,1421594,7190.1
5/8/2017,500,504.3,496.1,502.5,502.3,937883,4711.9
5/5/2017,499.7,501,496.35,498.9,499.3,510545,2543.8
5/4/2017,497.15,501.3,493.9,499.95,499.95,759174,3781.64
5/3/2017,498.1,499.7,494.25,495.5,496.45,762259,3786.71
5/2/2017,496.15,497.95,493.6,494,494.9,1044093,5174.52
4/28/2017,497,497.7,490.05,495.5,494.25,2266250,11157.7
4/27/2017,493.9,498.15,488.4,496,496.05,3724520,18406.81
4/26/2017,503,512.5,488.6,489.3,490.85,11346384,56429.78
4/25/2017,493.5,500,489.15,495,494.3,2207008,10899.81
4/24/2017,487.4,495,484.6,493.8,491.55,1291379,6325.01
4/21/2017,500,503.4,483,487.5,491.25,1583588,7874.04
4/20/2017,498,505.1,496.05,500.5,499.75,942309,4714.53
4/19/2017,497.5,499.55,490.3,498,498.25,1226899,6076.95
4/18/2017,491,497.75,490.6,494,494,1178496,5820.82
4/17/2017,495.75,495.75,490.1,492.35,492.3,1462174,7202.31
4/13/2017,500.75,503.95,492.3,496,495.4,1814019,8976.44
4/12/2017,509.7,509.85,499.3,500,500.75,1360936,6863.5
4/11/2017,503.8,511.4,500.2,510.45,510.15,1181999,6001.18
4/10/2017,514.95,517.8,502.5,503.85,504.4,2587277,13156.33
4/7/2017,513.4,513.5,508.9,513,511.9,2286934,11674.07
4/6/2017,507.1,515.55,506.45,514.95,514.7,1496305,7650.1
